ts_utc,market,team,price,bid,ask,last_trade,volume,liquidity,closed
2026-06-12T11:39:29+00:00,group_winner,Ivory Coast,0.128,0.124,0.132,0.124,45744.01340200001,69914.06859,False
2026-06-12T11:39:29+00:00,group_winner,Tunisia,0.0505,0.05,0.051,0.051,57781.87695899986,48905.00987,False
2026-06-12T11:39:29+00:00,group_winner,Japan,0.285,0.28,0.29,0.29,152890.27370499805,67402.4428,False
2026-06-12T11:39:29+00:00,group_winner,Netherlands,0.545,0.54,0.55,0.55,110907.30754399988,63587.4303,False
2026-06-12T11:39:29+00:00,group_winner,Sweden,0.145,0.14,0.15,0.14,63634.08151599988,32624.1048,False
2026-06-12T11:39:29+00:00,group_winner,New Zealand,0.038,0.036,0.04,0.04,28448.15951,87962.35764,False
2026-06-12T11:39:29+00:00,group_winner,Iran,0.1305,0.13,0.131,0.13,93708.35996800003,65939.81837,False
2026-06-12T11:39:29+00:00,group_winner,Egypt,0.155,0.15,0.16,0.16,35541.66948100006,51765.33,False
2026-06-12T11:39:29+00:00,group_winner,Belgium,0.695,0.69,0.7,0.69,102078.02187500008,42655.0388,False
2026-06-12T11:39:29+00:00,group_winner,Cape Verde,0.012,0.011,0.013,0.013,86704.74895,67622.3971,False
2026-06-12T11:39:29+00:00,group_winner,Uruguay,0.185,0.18,0.19,0.18,30022.94643400003,64109.4679,False
2026-06-12T11:39:29+00:00,group_winner,Spain,0.785,0.78,0.79,0.79,60782.85026899997,81116.0809,False
2026-06-12T11:39:29+00:00,group_winner,Saudi Arabia,0.016,0.013,0.019,0.013,127797.546388,111198.79156,False
2026-06-12T11:39:29+00:00,group_winner,Senegal,0.105,0.1,0.11,0.11,92029.11212500001,72038.3718,False
2026-06-12T11:39:29+00:00,group_winner,Norway,0.24,0.23,0.25,0.25,64059.87020599997,72157.6036,False
2026-06-12T11:39:29+00:00,group_winner,France,0.655,0.65,0.66,0.66,188194.3273739995,83589.1058,False
2026-06-12T11:39:29+00:00,group_winner,Iraq,0.007,0.006,0.008,0.006,101621.50103099996,139944.40042,False
2026-06-12T11:39:29+00:00,group_winner,Algeria,0.0955,0.095,0.096,0.095,54496.96309700004,74315.27196,False
2026-06-12T11:39:29+00:00,group_winner,Jordan,0.0165,0.014,0.019,0.019,29593.298368999982,69418.07265,False
2026-06-12T11:39:29+00:00,group_winner,Argentina,0.715,0.71,0.72,0.72,167122.13791999928,89995.0075,False
2026-06-12T11:39:29+00:00,group_winner,Austria,0.185,0.18,0.19,0.19,44101.40879300001,74015.2421,False
2026-06-12T11:39:29+00:00,group_winner,Colombia,0.325,0.32,0.33,0.32,47891.20744399997,63933.2484,False
2026-06-12T11:39:29+00:00,group_winner,DR Congo,0.041,0.04,0.042,0.042,38256.27295300003,58414.46195,False
2026-06-12T11:39:29+00:00,group_winner,Portugal,0.625,0.62,0.63,0.63,169952.72032599954,45408.8647,False
2026-06-12T11:39:29+00:00,group_winner,Uzbekistan,0.024,0.022,0.026,0.024,27506.181808000005,54407.64664,False
2026-06-12T11:39:29+00:00,group_winner,England,0.695,0.69,0.7,0.7,59974.847148999994,42169.2608,False
2026-06-12T11:39:29+00:00,group_winner,Ghana,0.0595,0.058,0.061,0.058,24499.20672700002,59264.72357,False
2026-06-12T11:39:29+00:00,group_winner,Croatia,0.215,0.21,0.22,0.22,26167.59132700003,66336.9284,False
2026-06-12T11:39:29+00:00,group_winner,Panama,0.0285,0.028,0.029,0.028,32387.052417,52973.36467,False
2026-06-12T12:01:34+00:00,advance,South Korea,0.94,0.93,0.95,0.95,14427.381183999996,4719.5761,False
2026-06-12T12:01:34+00:00,advance,Czech Republic,0.58,0.57,0.59,0.59,18922.094755,7120.9169,False
2026-06-12T12:01:34+00:00,advance,Switzerland,0.938,0.937,0.939,0.939,70497.21613399996,23167.376,False
